Metabolite,PDX119-Tumor	PDX240-Tumor	PDX240-Plasma	PDX119-Liver	PDX119-Plasma	PDX240-Liver
decenoyl carnitine	5.96E-04	6.85E-02	2.02E-01	7.17E-04	1.27E-02	1.42E-01
C5H10O5(6)	6.70E-02	5.49E-01	2.93E-01	1.40E-01	8.06E-01	1.58E-01
C9H13N5O3(4)	6.45E-01	6.15E-01	3.38E-01	1.24E-01	4.84E-01	3.65E-02
2-deoxycytidine	8.20E-01	4.16E-01	6.26E-01	7.91E-01	5.14E-01	8.29E-01
8(R)-hydroxy-hexadeca-2E4E6E10Z-tetraenoate/8(S)-hydroxy-hexadeca-2E4E6E10Z-tetraenoate	9.67E-01	2.02E-01	3.33E-01	8.80E-01	2.33E-01	2.56E-01
Perillic acid	6.88E-01	1.30E-01	4.37E-01	7.28E-01	2.69E-01	2.84E-01
pyruvate	5.36E-01	3.32E-01	6.77E-01	1.68E-01	1.61E-01	9.11E-01
Pyridoxal	8.14E-02	3.99E-01	8.84E-01	2.70E-02	2.26E-01	2.64E-01
C4H6O3(3)	3.90E-01	8.71E-01	2.09E-01	9.43E-02	7.43E-01	1.70E-01
tetradecenoyl carnitine	1.40E-02	1.51E-01	9.87E-01	2.54E-02	1.25E-02	3.46E-01
3-hydroxyhexadecanoylcarnitine	2.32E-03	9.38E-01	3.60E-01	1.51E-03	1.74E-01	2.56E-02
Riboflavin	1.58E-01	3.20E-01	8.12E-01	5.52E-02	1.97E-01	8.22E-03
3-oxo-6(R)-hydroxy-tetradec-8-cis-enoate/3-oxo-6(S)-hydroxy-tetradec-8Z-enoate	8.57E-01	2.21E-01	1.20E-01	1.41E-01	1.54E-01	1.36E-01
stearoylcarnitine	2.10E-01	2.26E-02	2.27E-01	1.26E-01	7.38E-02	3.48E-01
D-Glycerate 3-phosphate/D-Glycerate 2-phosphate	5.64E-01	4.45E-01	3.76E-01	6.81E-01	8.38E-01	8.75E-01
L-Iditol/D-glucitol/galactitol	5.52E-01	1.14E-01	8.25E-01	2.28E-01	3.66E-02	2.16E-02
L-fucose/L-Fuculose	5.19E-04	8.02E-01	2.29E-02	1.08E-02	5.04E-03	3.02E-02
sn-Glycero-3-phosphocholine	1.61E-01	4.82E-03	6.28E-01	4.48E-02	4.30E-01	2.12E-03
glutathione	2.64E-01	3.98E-01	4.77E-01	2.44E-06	5.13E-01	4.40E-03
L-glutamate	1.96E-01	6.94E-01	4.24E-01	1.27E-02	5.68E-02	7.05E-02
L-4-hydroxyglutamate semialdehyde	2.01E-01	6.99E-01	4.66E-01	1.23E-02	5.33E-02	6.98E-02
4(R)-hydroxy-dodec-6Z-enoate/4(S)-hydroxy-dodec-6Z-enoate	4.48E-01	1.85E-01	8.27E-01	7.71E-04	3.35E-01	1.85E-02
3(S)6(R)-dihydroxy-tetradec-8Z-enoate/3(S)6(S)-dihydroxy-tetradec-8Z-enoate	9.87E-01	3.59E-01	1.12E-01	1.02E-01	2.11E-01	6.68E-02
 Thymidine 	6.64E-01	4.84E-01	3.22E-01	1.59E-01	5.10E-01	1.30E-01
2-Hydroxyglutarate	5.29E-01	4.27E-01	9.44E-01	4.54E-01	7.72E-01	6.25E-02
 adenosine 	7.74E-01	7.39E-01	8.71E-01	4.71E-01	2.63E-01	6.53E-01
3-Keto-beta-D-galactose/L-Gulonolactone	6.01E-01	8.00E-01	5.53E-01	8.36E-01	9.36E-02	5.68E-01
5-Hydroxyisourate	6.10E-01	2.52E-01	6.16E-01	1.19E-01	3.23E-01	1.70E-03
5-Methylthioadenosine	1.33E-02	6.31E-01	3.23E-01	3.17E-01	7.82E-01	3.79E-01
4-hydroxybenzoate/Gentisate aldehyde	6.51E-01	1.76E-01	9.29E-01	8.66E-01	5.42E-01	5.87E-01
Methionine sulfoxide	8.56E-02	1.48E-02	4.87E-01	1.22E-01	7.81E-01	3.00E-03
N6N6N6-Trimethyl-L-lysine	1.46E-01	1.30E-01	5.66E-01	1.54E-01	7.04E-01	7.16E-02
fumarate	8.44E-01	5.86E-01	3.31E-01	7.77E-02	9.51E-01	4.94E-02
gama-L-glutamyl-L-alanine/5-L-Glutamyl-L-alanine-1	1.70E-01	1.50E-02	2.95E-01	6.35E-01	5.27E-01	2.00E-01
Xanthine	5.35E-02	8.04E-01	9.24E-01	1.76E-01	5.50E-01	2.39E-01
6(S)-hydroxy-tetradeca-2E4E8Z-trienoate/6(R)-hydroxy-tetradeca-2E4E8Z-trienoate	5.93E-01	8.01E-01	5.50E-01	1.31E-01	4.95E-02	1.75E-01
tiglyl carnitine	2.86E-01	3.69E-02	7.41E-01	1.86E-01	7.67E-01	9.72E-01
3(S)10(R)-OH-octadeca-6-trans-412-cis-trienoate	7.26E-01	7.19E-01	8.40E-01	6.57E-01	6.21E-01	1.12E-01
12S-HHT	7.92E-01	3.37E-01	2.67E-01	5.39E-01	6.31E-01	4.14E-01
5-Hydroxyindoleacetate	1.45E-03	9.20E-01	1.06E-02	4.08E-01	7.13E-02	3.01E-02
phytanic acid/arachidic acid	5.24E-01	6.40E-01	6.96E-01	5.76E-01	2.09E-01	3.70E-01
malate(2-)	2.52E-01	3.79E-01	2.40E-01	2.30E-01	9.49E-01	5.39E-02
heptadecanoyl carnitine	3.36E-02	1.94E-01	4.52E-02	1.09E-01	3.02E-02	2.30E-01
C16H26O3(4)	8.87E-01	6.92E-01	3.69E-01	2.02E-01	5.54E-01	3.83E-01
2-oxoglutarate(2-)	3.91E-01	3.94E-01	1.21E-01	6.58E-01	2.76E-01	9.00E-03
Ornithine	4.13E-01	2.21E-01	9.03E-01	1.89E-01	6.75E-01	2.85E-01
succinate(2-)	4.49E-01	1.37E-01	4.74E-01	1.12E-01	2.68E-01	9.89E-01
omega hydroxy hexadecanoate (n-C16:0)	3.96E-01	5.88E-01	8.89E-02	3.59E-01	4.39E-01	7.54E-02
acetylcholine/4-(trimethylammonio)butanoate	7.76E-02	7.25E-04	1.44E-01	4.93E-01	1.00E+00	2.00E-01
trans-Hexadec-2-enoyl carnitine	9.25E-01	1.08E-01	5.73E-02	8.09E-02	1.80E-01	2.12E-01
succinyl carnitine	5.42E-01	8.54E-01	8.84E-02	4.35E-02	4.88E-01	4.34E-01
N-Formimidoyl-L-glutamate	6.94E-01	4.03E-01	8.47E-02	2.64E-01	2.83E-01	5.79E-01
octenoyl carnitine	3.52E-03	9.39E-01	4.45E-01	2.31E-03	1.44E-02	1.01E-01
itaconate/Mesaconate	6.62E-01	5.79E-02	1.57E-01	4.32E-01	5.74E-01	3.72E-01
dIMP	9.88E-01	3.29E-01	2.06E-02	2.71E-02	3.40E-01	1.02E-01
24-oxo-1alpha-23-25-trihydroxyvitamin D3	2.93E-01	5.21E-04	3.51E-02	4.21E-01	1.26E-02	2.27E-02
Biotin	9.08E-01	6.06E-02	4.24E-01	1.85E-02	1.96E-01	8.68E-04
Valine	6.07E-01	1.32E-01	8.47E-01	7.84E-02	5.13E-03	3.40E-01
AMP	5.91E-01	2.35E-01	5.04E-01	7.24E-01	9.63E-01	5.26E-01
L-threonine	1.58E-03	1.85E-01	1.41E-01	1.93E-02	1.22E-02	3.77E-01
Glycerol 3-phosphate	6.00E-01	8.96E-03	6.84E-01	4.25E-01	2.65E-01	7.00E-02
gulonate	2.45E-02	1.54E-01	7.64E-02	1.99E-01	6.02E-02	6.96E-01
arachidonic acid	1.01E-02	8.59E-01	2.99E-01	8.96E-01	8.61E-01	8.97E-02
L-xylonate/L-lyxonate	3.39E-01	1.90E-01	7.66E-01	4.91E-02	5.96E-01	8.27E-02
3-hydroxy-isovaleryl carnitine	3.74E-03	2.88E-02	1.04E-01	1.61E-04	3.39E-03	3.49E-01
thymine/imidazol-4-ylacetate	9.57E-01	3.24E-01	1.71E-01	1.26E-02	7.01E-01	7.35E-02
creatine	9.88E-01	7.47E-02	5.18E-01	3.27E-01	8.46E-02	6.68E-01
xanthosine	2.11E-02	3.89E-02	2.45E-01	8.34E-02	9.24E-01	1.97E-04
Elaidic carnitine/Vaccenyl carnitine	9.43E-01	1.04E-02	6.44E-02	8.63E-02	3.55E-02	2.46E-01
Trimethylamine N-oxide	1.78E-01	4.87E-01	6.12E-02	2.23E-02	4.49E-02	6.24E-02
C27H42O4(3)	4.98E-02	3.38E-02	8.56E-04	5.61E-01	8.24E-02	6.92E-02
Nicotinamide	2.02E-02	7.77E-01	6.30E-01	2.81E-02	1.13E-01	3.70E-01
carnosine	2.18E-01	7.25E-01	7.78E-01	3.55E-01	2.15E-01	4.14E-02
L-serine	3.40E-04	4.55E-01	1.89E-03	3.45E-03	9.69E-03	1.58E-03
5-oxoproline/L-1-Pyrroline-3-hydroxy-5-carboxylate	6.27E-02	6.84E-03	5.70E-02	2.90E-03	9.45E-01	4.42E-03
naphthalene	1.52E-01	4.54E-01	2.39E-01	1.45E-01	3.56E-01	3.25E-01
(R)-mevalonate	1.06E-02	5.44E-03	9.37E-03	4.16E-01	3.15E-01	3.80E-01
C9H8O3(3)	7.91E-01	4.69E-03	8.55E-03	9.09E-02	8.10E-01	8.33E-03
Urocanate	9.02E-01	4.34E-01	9.29E-02	6.46E-02	9.36E-02	6.13E-02
L-isoleucine/L-leucine	2.18E-02	2.83E-01	9.84E-01	3.59E-01	3.59E-02	2.52E-01
Hexadecanedioic acid	4.07E-01	6.15E-01	1.20E-01	1.42E-01	1.87E-01	1.73E-01
G6P/F6P	8.15E-01	1.18E-01	3.96E-01	6.43E-02	6.63E-01	4.04E-01
25-hydroxyvitamin D3-26-23-lactone	3.03E-01	5.48E-01	5.04E-03	2.09E-01	7.04E-02	8.96E-01
N-acetyl-seryl-aspartate	7.37E-01	4.00E-02	4.72E-01	2.40E-02	7.27E-01	8.88E-02
N-acetyl-L-aspartate/2-Amino-3-oxoadipate	1.50E-02	3.42E-01	5.06E-01	9.07E-02	4.76E-01	2.95E-02
3-oxo-8(R)-hydroxy-hexadeca-6E10Z-dienoate/3-oxo-8(S)-hydroxy-hexadeca-6E10Z-dienoate	5.67E-02	3.18E-01	7.73E-02	1.57E-01	2.65E-02	7.12E-01
acetamidopropanal	7.84E-01	1.22E-01	9.56E-01	2.44E-03	3.07E-01	8.31E-03
 guanosine 	2.54E-01	3.32E-01	9.42E-01	8.48E-03	1.79E-01	2.31E-02
perillyl aldehyde	2.33E-01	8.54E-01	7.88E-01	9.18E-01	6.87E-01	5.36E-01
tetradecanoyl carnitine(myristoyl carnitine)	2.41E-01	1.85E-01	9.07E-02	1.31E-01	1.36E-01	1.77E-01
oleic acid/elaidate/trans-vaccenate	3.35E-01	4.88E-01	6.01E-01	8.24E-01	4.05E-01	5.51E-02
"5,6-dihydrothymine"	1.75E-02	1.53E-01	5.87E-02	5.98E-02	8.81E-01	2.27E-01
Guanine	6.04E-01	4.35E-02	2.93E-01	3.09E-01	6.39E-01	2.09E-02
L-arabinitol/xylitol/D-ribitol	7.97E-02	1.60E-01	9.12E-01	1.32E-01	2.47E-01	3.41E-02
Taurine	4.18E-01	7.18E-02	6.01E-02	3.10E-05	1.68E-03	5.29E-03
laurate	3.14E-01	3.61E-01	2.25E-01	3.68E-02	4.04E-01	5.07E-02
palmitoleate	7.61E-02	1.56E-01	1.01E-01	7.96E-02	8.75E-01	1.67E-01
ATP	6.85E-02	3.89E-01	3.29E-01	2.11E-01	6.38E-01	3.36E-01
 uridine 	9.20E-02	7.45E-01	7.50E-01	4.09E-01	5.92E-01	3.61E-01
pristanic acid	8.67E-01	6.25E-01	7.29E-01	4.20E-01	3.43E-01	1.91E-01
palmitate	2.74E-01	4.69E-01	1.29E-01	6.64E-01	7.40E-01	4.34E-01
Methylimidazoleacetic acid	2.75E-01	6.92E-01	3.36E-01	4.84E-02	6.06E-03	1.60E-02
N-acetyl-L-glutamate	5.69E-01	6.34E-02	7.65E-01	1.68E-02	9.82E-01	5.06E-01
C6H12O6(5)	4.23E-01	3.54E-01	6.53E-01	5.89E-01	4.04E-01	7.17E-01
L-tryptophan	6.06E-01	1.10E-01	1.18E-01	6.93E-02	1.95E-01	1.08E-01
Diphosphate	1.07E-01	1.94E-01	1.45E-02	3.68E-01	8.83E-01	7.50E-01
3-Hydroxybutyrylcarnitine	4.50E-01	8.18E-01	6.31E-01	1.46E-02	2.00E-01	5.78E-01
C20H30O4(18)	3.89E-01	2.90E-01	3.86E-02	6.36E-01	1.43E-02	2.51E-01
citrate/isocitrate	4.77E-02	8.25E-01	7.02E-01	1.06E-01	3.42E-02	8.27E-02
C20H32O3(12)	6.84E-01	6.62E-01	1.39E-01	2.51E-01	6.85E-01	8.69E-02
caprate	2.93E-01	3.97E-01	5.75E-01	4.09E-01	5.63E-01	2.24E-01
Glycylproline/L-Prolinylglycine	9.05E-01	8.64E-01	3.18E-02	2.02E-03	8.03E-01	3.96E-04
1-methylnicotinamide	8.77E-03	8.98E-01	1.39E-02	8.83E-01	3.26E-04	8.53E-01
 5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide 	8.31E-01	2.46E-02	6.81E-02	2.99E-01	9.50E-02	9.04E-02
butyryl carnitine	6.01E-01	5.75E-02	5.61E-01	2.44E-01	2.75E-01	7.20E-01
ADP	1.83E-01	3.77E-01	7.86E-01	1.67E-01	6.30E-01	2.26E-01
isoputreanine/putreanine	3.86E-02	8.79E-01	4.26E-02	9.99E-02	4.70E-03	7.53E-01
L-kynurenine/Formyl-5-hydroxykynurenamine	5.67E-03	9.47E-01	1.56E-02	3.87E-01	4.88E-02	5.76E-02
octanoyl carnitine/L-Octanoylcarnitine	7.30E-04	1.04E-01	9.27E-01	2.02E-01	1.06E-01	7.56E-01
3-oxo-10(R)-hydroxy-octadeca-6E8E12Z-trienoate/3-oxo-10(S)-hydroxy-octadeca-6E8E12Z-trienoate	7.32E-01	9.77E-01	5.96E-01	6.65E-01	8.63E-01	3.64E-01
arginine	2.68E-01	3.61E-01	1.26E-01	3.98E-01	2.29E-01	7.93E-01
L-cysteate	2.73E-01	6.59E-03	7.86E-01	4.96E-02	6.57E-01	1.26E-03
L-phenylalanine	6.34E-01	9.41E-02	1.91E-01	4.64E-01	1.82E-01	1.29E-01
 Deoxyuridine 	9.47E-01	5.50E-01	2.52E-01	1.20E-01	3.29E-01	3.46E-01
9(10)-EpOME/12(13)-EpOME	3.65E-01	5.21E-01	5.26E-01	1.65E-01	4.13E-01	2.09E-02
omega hydroxy dodecanoate (n-C12:0)	1.84E-02	9.54E-02	7.81E-01	3.58E-03	3.88E-01	1.99E-01
"4-hydroxy-2-nonenal/3,4-epoxynonanal"	7.05E-01	5.14E-01	3.29E-02	5.71E-01	2.17E-01	2.31E-01
L-tyrosine	7.86E-01	5.33E-03	8.82E-03	1.13E-01	7.98E-01	9.86E-03
fructoseglycine	2.40E-01	1.21E-02	8.76E-01	6.32E-01	5.55E-01	4.54E-02
 cytidine 	5.82E-01	3.39E-01	3.32E-01	1.66E-02	6.95E-02	4.31E-03
Glycylleucine	7.62E-01	1.15E-01	1.89E-02	1.33E-03	3.21E-01	2.37E-03
Ercalcitriol	3.31E-02	8.07E-01	4.04E-01	9.23E-03	6.67E-02	5.68E-01
adipic acid	7.71E-01	8.30E-02	3.18E-01	5.00E-01	4.78E-01	8.85E-01
S-adenosyl-L-methionine	2.08E-01	8.05E-01	0.218391751	2.68E-01	2.68E-01	8.64E-01
"4,6-Dihydroxyquinoline/quinoline-4,8-diol"	2.30E-01	4.63E-01	1.03E-01	1.69E-01	6.83E-02	3.35E-01
coumarin	8.15E-01	5.85E-03	9.32E-03	8.44E-02	8.07E-01	1.21E-02
Linoleyl carnitine/Linoelaidyl carnitine	1.98E-02	4.22E-02	1.87E-02	1.69E-02	1.01E-02	4.73E-02
3-Ureidoisobutyrate/Glycylsarcosine	2.28E-02	5.34E-02	8.21E-03	5.95E-01	2.84E-01	5.13E-01
citr_L[e]	4.26E-03	1.07E-01	3.42E-03	7.59E-02	7.17E-02	3.39E-01
S-[2-carboxy-1-(1 H-imidazol-4-yl)ethyl]-L-cysteine	2.40E-01	8.13E-02	9.62E-01	6.64E-02	4.86E-01	9.14E-01
C20H30O2(4)	1.40E-01	5.03E-01	7.30E-01	5.27E-01	6.79E-01	2.35E-01
11'-Carboxy-alpha-chromanol	5.02E-01	9.83E-01	3.55E-01	1.65E-01	2.98E-01	5.73E-01
ribose-phosphate	5.02E-03	6.25E-02	5.74E-01	2.44E-01	1.58E-01	4.44E-01
myristate	8.01E-01	2.81E-01	4.93E-02	8.84E-02	1.30E-01	4.69E-01
w-hydroxydecanoicacid	1.31E-01	1.54E-01	5.98E-01	1.43E-02	1.75E-01	9.44E-01
C20H30O3(6)	7.91E-02	8.64E-01	9.23E-02	2.51E-01	1.35E-01	7.29E-02
sarcosine	3.97E-02	4.31E-01	3.32E-01	6.57E-01	1.41E-01	8.74E-01
"8,11,14-Eicosatrienoic acid (DGLA)"	3.00E-01	4.11E-01	5.68E-01	3.36E-01	5.28E-01	4.49E-03
2-aminoacrylic acid	1.35E-04	5.03E-01	4.63E-03	4.02E-03	8.84E-03	1.04E-03
L-threonate	8.88E-01	1.05E-01	1.20E-01	2.58E-01	7.06E-01	5.34E-01
decanoyl carnitine	6.26E-03	1.58E-02	4.26E-01	7.30E-02	9.44E-02	7.89E-02
alpha-D-glucose	5.09E-02	2.83E-01	2.39E-01	8.61E-02	8.79E-01	1.41E-01
pendtadenoyl carnitine	2.24E-01	7.61E-01	1.86E-02	3.04E-01	2.64E-02	1.79E-01
L-proline	7.84E-01	1.22E-01	9.56E-01	2.44E-03	3.07E-01	8.31E-03
creatinine	1.43E-02	6.43E-01	9.58E-01	1.01E-01	2.90E-01	3.30E-01
spermidine dialdehyde-2	1.71E-02	2.05E-01	1.08E-01	1.14E-02	5.23E-02	1.08E-01
3-methyl-2-oxobutanoate	1.65E-01	6.77E-01	4.74E-01	5.29E-01	6.58E-01	7.87E-01
alpha-linolenyl carnitine/gamma-linolenyl carnitine	8.92E-02	7.16E-02	7.18E-02	5.98E-06	2.60E-02	5.34E-02
lysine	3.61E-01	2.15E-01	4.85E-01	5.35E-01	1.37E-01	2.74E-01
docosahexaenoate(DHA)	4.86E-01	8.58E-01	7.00E-01	3.47E-01	1.04E-01	2.02E-01
dopaminochrome	8.12E-02	3.92E-01	7.19E-01	2.38E-02	2.37E-01	2.99E-01
bilirubin	2.01E-01	7.16E-01	7.09E-01	1.29E-01	7.66E-01	3.14E-01
glycine	2.16E-01	2.68E-01	1.33E-01	2.34E-03	8.00E-01	9.12E-01
Dihydroxyacetone phosphate	9.73E-01	1.14E-01	6.50E-01	3.22E-01	2.27E-01	5.89E-01
anthranilate	4.31E-02	7.11E-01	2.80E-01	7.75E-02	3.21E-01	3.58E-03
cis-aconitate	8.03E-02	2.77E-01	5.67E-01	4.12E-01	3.13E-02	5.85E-01
4alpha-5-epoxy-8alpha-hydroperoxytocopherone/7-8-epoxy-8alpha-hydroperoxytocopherone	3.81E-01	5.17E-01	2.02E-01	2.75E-01	1.50E-01	1.82E-01
3alpha-7alpha-12alpha-Trihydroxy-5beta-cholestanoate/3alpha-7alpha-12alpha-25-tetrahydroxy-5beta-cholestane-24-one	2.44E-01	9.22E-01	8.78E-02	1.89E-02	2.79E-04	1.14E-01
choline	3.78E-03	9.60E-01	4.02E-01	6.30E-01	3.21E-01	8.48E-01
NN-dimethylglycine	4.96E-04	3.62E-02	4.84E-02	4.75E-01	1.60E-02	8.76E-01
L-palmitoylcarnitine	1.46E-01	4.78E-02	2.20E-01	1.65E-01	2.79E-01	8.61E-01
O-acetylcarnitine	5.29E-02	6.90E-01	1.65E-01	1.50E-01	1.17E-03	8.89E-01
ADP-ribose	2.76E-01	1.06E-01	1.76E-01	1.70E-01	3.49E-01	1.62E-01
propionyl-carnitine	2.82E-03	2.21E-01	3.99E-01	7.12E-04	3.75E-01	4.63E-01
C27H46O4(3)	2.28E-01	8.26E-01	4.12E-03	1.30E-01	1.48E-02	2.97E-01
"trans-4,5-epoxy-2(E)-decenal"	8.98E-01	2.26E-02	3.14E-02	2.35E-01	7.15E-02	5.91E-01
"clupanodonic acid/docosa-4,7,10,13,16-pentaenoic acid"	8.83E-01	7.11E-01	8.15E-02	2.57E-01	1.59E-02	3.07E-03
L-histidine	1.28E-03	9.13E-01	5.15E-03	3.54E-01	1.08E-02	6.03E-01
L-Alanyl-L-leucine	7.67E-01	2.81E-02	2.43E-01	5.67E-01	2.00E-01	8.16E-03
uracil	2.04E-02	3.56E-01	6.74E-01	3.78E-01	6.61E-01	7.55E-03
4-hydroperoxy-2-nonenal	8.56E-01	9.01E-01	5.97E-03	4.06E-01	5.53E-01	1.01E-01
(R)-Pantothenate	1.55E-01	6.44E-01	9.99E-01	1.34E-01	2.38E-01	1.66E-01
omega hydroxy tetradecanoate (n-C14:0)	4.21E-02	4.03E-01	1.88E-01	2.37E-03	9.18E-01	5.14E-02
margarate	6.99E-01	8.18E-01	9.90E-01	2.71E-02	6.23E-01	1.12E-01
"4-Hydroxyphenylacetate/2-Hydroxyphenylacetate/3,4-Dihydroxyphenylacetaldehyde"	4.17E-01	7.65E-01	3.18E-01	8.46E-01	9.73E-01	1.97E-01
pentadecanoate	5.93E-01	6.40E-01	7.70E-01	5.52E-02	3.35E-01	1.50E-01
Eicosenoic acid	7.71E-01	4.32E-01	5.94E-01	1.78E-01	8.40E-01	2.18E-01
(4-hydroxy-3-methoxyphenyl)acetaldehyde	8.66E-03	2.59E-02	5.64E-01	2.36E-01	7.63E-03	6.84E-01
3-hydroxyhexadecenoylcarnitine	3.92E-01	7.11E-01	2.17E-01	1.35E-01	1.22E-01	7.51E-01
thiosulfate	4.92E-01	1.46E-03	4.40E-01	7.90E-01	9.80E-02	1.61E-02
L-glutamine	2.24E-02	5.49E-02	8.10E-03	5.89E-01	2.78E-01	4.91E-01
cholesterol sulfate	8.02E-01	2.58E-02	8.03E-01	7.07E-01	9.72E-01	8.57E-01
lauroyl carnitine	2.40E-03	1.11E-01	4.17E-01	1.50E-01	2.64E-01	2.68E-01
myo-inositol	4.18E-01	3.45E-01	6.33E-01	9.44E-01	2.56E-01	3.98E-01
tetradecenoate (n-C14:1)	3.58E-01	6.73E-01	3.57E-01	1.82E-01	7.13E-01	8.86E-02
2-Hydroxybutyric acid	6.68E-01	5.82E-01	4.62E-01	9.31E-02	3.72E-01	5.73E-01
C18H32O4(3)	9.77E-01	9.39E-01	5.94E-01	7.45E-01	2.77E-01	7.20E-01
linoleic acid/linoelaidic acid (all trans C18:2)/octadecadienoate (n-C18:2)	3.91E-01	7.90E-01	7.89E-01	1.62E-01	1.53E-01	5.91E-02
lactate	6.33E-01	1.20E-01	7.55E-01	1.90E-01	6.38E-01	1.37E-01
 orotate 	6.67E-01	1.16E-02	4.58E-01	1.37E-01	8.75E-01	7.47E-01
cytosine	2.34E-01	8.91E-01	6.99E-01	4.58E-02	5.57E-01	8.36E-03
choline phosphate	1.57E-01	9.55E-02	4.14E-01	7.95E-01	9.52E-01	3.12E-01
L-alanine	4.08E-02	4.76E-01	2.47E-01	6.28E-01	1.33E-01	8.80E-01
